2164	Dd;Dc	MILENKOVIC	Fiorentina	11
2120	Dc	BASTONI	Inter	11
4965	C	MARIN	Cagliari	11
2119	A	DEULOFEU	Udinese	11
1980	W;T	ARAMU	Venezia	10
4892	W	SAELEMAEKERS	Milan	10
2178	Por	CRAGNO	Cagliari	10
2211	Por	SILVESTRI	Udinese	10
315	Pc	ZAZA	Torino	10
4404	M;C	THORSBY	Sampdoria	10
1933	M;C	MANDRAGORA	Torino	10
4725	M	DEMME	Napoli	10
706	E	ANSALDI	Torino	10
2263	Dd;E	LAZZARI	Lazio	10
787	Dc	DJIMSITI	Atalanta	10
4245	Dc	SMALLING	Roma	10
1895	Dc	FERRARI G.	Sassuolo	10
2280	Dc	NUYTINCK	Udinese	10
288	Dc	CHIELLINI	Juventus	10
1958	A	CAPRARI	Sampdoria	10
5501	W;T	SIGURDSSON A.	Venezia	9
4415	W;A	SKOV OLSEN	Bologna	9
5451	T	BAJRAMI	Empoli	9
133	Por	SKORUPSKI	Bologna	9
2170	Por	MILINKOVIC-SAVIC V.	Torino	9
4957	Por	MONTIPO'	Verona	9
5495	Pc	FORTE	Venezia	9
652	Pc	KALINIC	Verona	9
5375	E	MAEHLE	Atalanta	9
2525	E	DARMIAN	Inter	9
252	Ds;E	BIRAGHI	Fiorentina	9
254	Ds;E	DIMARCO	Inter	9
4421	Ds;E	AUGELLO	Sampdoria	9
5509	Ds;E	VINA	Roma	9
2759	Ds;Dc;E	CRISCITO	Genoa	9
464	Dd;E	FLORENZI	Milan	9
695	Dc	TOLOI	Atalanta	9
459	Dc	MANOLAS	Napoli	9
2784	Dc	COLLEY	Sampdoria	9
4895	Dc	YOSHIDA	Sampdoria	9
2166	C	BENTANCUR	Juventus	9
2379	C	RABIOT	Juventus	9
5506	A	EKUBAN	Genoa	9
4886	W;T	PEREIRO	Cagliari	8
150	W;T	SAPONARA	Fiorentina	8
5487	W;T	HEYMANS	Venezia	8
2839	W;A	SOTTIL	Fiorentina	8
4884	W;A	CARLES PEREZ	Roma	8
2179	Por	SIRIGU	Genoa	8
505	Pc	BONAZZOLI	Salernitana	8
311	Pc	LLORENTE	Udinese	8
1943	Pc	NESTOROVSKI	Udinese	8
4393	M;C	SCHOUTEN	Bologna	8
644	M;C	PULGAR	Fiorentina	8
170	M;C	BADELJ	Genoa	8
2209	M;C	LUCAS LEIVA	Lazio	8
2818	M;C	BENNACER	Milan	8
5287	M;C	ARSLAN	Udinese	8
2011	M;C	MIGUEL VELOSO	Verona	8
5511	M;C	MATHEUS HENRIQUE	Sassuolo	8
2653	Ds;E	LYKOGIANNIS	Cagliari	8
790	Ds;Dc	SAMIR	Udinese	8
